id,product_id,feature_key,feature_label,feature_value,source_text,extraction_method,updated_at
2085,556,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2086,556,digital_process,Dijital İşlem,Evet,👉 Mobil şube üzerinden nasıl müşteri olunur?,rule_based_source,2026-08-12T11:10:22+00:00
2087,556,application_channel,Başvuru / Kanal,Mobil,👉 Mobil şube üzerinden nasıl müşteri olunur?,rule_based_source,2026-08-12T11:10:22+00:00
2088,556,repayment_structure,Ödeme / Kullanım Yapısı,Esnek ödeme,"Süreç boyunca size sunulan esnek ödeme seçeneklerinden yararlanabilir, taksit tutarlarınızı ihtiyaçlarınıza göre şekillendirebilirsiniz.",rule_based_source,2026-08-12T11:10:22+00:00
2089,557,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2090,558,usage_purpose,Kullanım Amacı,İşletmenin finansman ihtiyacının karşılanması,"Konut finansmanı, ev sahibi olmak isteyen kişilere katılım esasları ile finansman çözümleri sunan bir üründür.",rule_based_source,2026-08-12T11:10:22+00:00
2091,558,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2092,559,usage_purpose,Kullanım Amacı,İşletmenin finansman ihtiyacının karşılanması,"Dünya Katılım ihtiyaç finansmanı, bireysel müşteriler ve işletme sahiplerinin her türlü finansal ihtiyacını karşılamak için sunulan esnek ve güvenli bir finansman çözümüdür.",rule_based_source,2026-08-12T11:10:22+00:00
2093,559,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2094,560,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2095,560,digital_process,Dijital İşlem,Evet,"Başvuru Kanalları Dünya Katılım Şubeleri Mobil Şube Dikkat Edilmesi Gereken Hususlar Enerya İhtiyaç Finansmanı, maksimum 250.000 TL ve 36 ay vade ile sınırlıdır.",rule_based_source,2026-08-12T11:10:22+00:00
2096,560,application_channel,Başvuru / Kanal,Mobil,"Başvuru Kanalları Dünya Katılım Şubeleri Mobil Şube Dikkat Edilmesi Gereken Hususlar Enerya İhtiyaç Finansmanı, maksimum 250.000 TL ve 36 ay vade ile sınırlıdır.",rule_based_source,2026-08-12T11:10:22+00:00
2097,561,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2098,562,usage_purpose,Kullanım Amacı,Kredibilite / referans sunumu,"Anasayfa Isim Için Içerik Finansmanlar Gayri Nakdi Finansman Referans Mektupları Referans Mektupları Referans Mektupları Referans mektupları, bir işletmenin finansal taahhütlerini yerine getirme kabiliyetini değerlendirmek amacıyla bankamızdan talep edilen yazılı belgelerdir.",rule_based_source,2026-08-12T11:10:22+00:00
2099,562,transaction_structure,İşlem / Finansman Yapısı,Referans mektubu,"Anasayfa Isim Için Içerik Finansmanlar Gayri Nakdi Finansman Referans Mektupları Referans Mektupları Referans Mektupları Referans mektupları, bir işletmenin finansal taahhütlerini yerine getirme kabiliyetini değerlendirmek amacıyla bankamızdan talep edilen yazılı belgelerdir.",product_identity,2026-08-12T11:10:22+00:00
2100,562,target_segment,Hedef Kitle,Ticari,scope=ticari,structured_scope,2026-08-12T11:10:22+00:00
2101,563,usage_purpose,Kullanım Amacı,Ticari yükümlülüklerin güvence altına alınması,"Banka teminat mektupları, işlemlerde güven sağlamak ve taahhütlerin yerine getirilmesini garanti altına almak için yaygın olarak kullanılan etkili bir finansal araçtır.",rule_based_source,2026-08-12T11:10:22+00:00
2102,563,transaction_structure,İşlem / Finansman Yapısı,Teminat mektubu,Anasayfa Isim Için Içerik Finansmanlar Gayri Nakdi Finansman Teminat Mektupları Teminat Mektupları Nedir?,product_identity,2026-08-12T11:10:22+00:00
2103,563,target_segment,Hedef Kitle,Ticari,scope=ticari,structured_scope,2026-08-12T11:10:22+00:00
2104,563,foreign_trade,Dış Ticaret,Evet,"Faizsiz Bankacılık İlke ve Standartları ve Danışma Komitesi kararları çerçevesinde mal alımı, bayilik teminatı, taahhüt işleri, gümrük, mahkeme, vergi dairesi işlemleri gibi konularla ilgili teminat mektubu düzenlenebilmektedir.",rule_based_source,2026-08-12T11:10:22+00:00
2105,564,usage_purpose,Kullanım Amacı,İşletmenin finansman ihtiyacının karşılanması,"İşletme finansmanı, işletmenin kısa vadeli ve uzun vadeli mali gereksinimlerini karşılamak için gerekli fonları sağlama ve esnek ödeme seçeneği ile tekrar kullanma imkanı sağlayan ve vade sonuna kadar kâr oranı sabit olan bir finansman çözümüdür.",rule_based_source,2026-08-12T11:10:22+00:00
2106,564,target_segment,Hedef Kitle,Ticari,scope=ticari,structured_scope,2026-08-12T11:10:22+00:00
2107,564,repayment_structure,Ödeme / Kullanım Yapısı,Esnek ödeme,"İşletme finansmanı, işletmenin kısa vadeli ve uzun vadeli mali gereksinimlerini karşılamak için gerekli fonları sağlama ve esnek ödeme seçeneği ile tekrar kullanma imkanı sağlayan ve vade sonuna kadar kâr oranı sabit olan bir finansman çözümüdür.",rule_based_source,2026-08-12T11:10:22+00:00
2108,565,usage_purpose,Kullanım Amacı,İşletme yatırımı / mal ve hizmet finansmanı,"Müşterilerimizin faaliyetleri doğrultusunda ihtiyaç duyulan emtia,hizmet bedeli, 0/2.el konut alımı, 0/2.el taşıt alımlarına yönelik Bankamız tarafından sağlanan finansman çözümüdür.",rule_based_source,2026-08-12T11:10:22+00:00
2109,565,transaction_structure,İşlem / Finansman Yapısı,Taksitli finansman,Anasayfa Isim Için Içerik Finansmanlar Nakdi Finansman Taksitli Ticari Finansman Taksitli Ticari Finansman Nedir ?,product_identity,2026-08-12T11:10:22+00:00
2110,565,target_segment,Hedef Kitle,Ticari,scope=ticari,structured_scope,2026-08-12T11:10:22+00:00
2111,566,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2112,566,digital_process,Dijital İşlem,Evet,Akıllı telefonunuzda veya tabletinizde yüklü Kuveyt Türk Mobil uygulamasını açın.,rule_based_source,2026-08-12T11:10:22+00:00
2113,566,application_channel,Başvuru / Kanal,Mobil,Akıllı telefonunuzda veya tabletinizde yüklü Kuveyt Türk Mobil uygulamasını açın.,rule_based_source,2026-08-12T11:10:22+00:00
2114,567,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2115,568,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2116,569,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2117,569,digital_process,Dijital İşlem,Evet,Müşterimiz olmayan ve finansman başvurusu onaylanan müşterilerimiz görüntülü görüşme üzerinden Kuveyt Türk müşterisi olduktan sonra Kuveyt Türk Mobil üzerinden işlemini tamamlayabilirler.,rule_based_source,2026-08-12T11:10:22+00:00
2118,569,application_channel,Başvuru / Kanal,Mobil,Müşterimiz olmayan ve finansman başvurusu onaylanan müşterilerimiz görüntülü görüşme üzerinden Kuveyt Türk müşterisi olduktan sonra Kuveyt Türk Mobil üzerinden işlemini tamamlayabilirler.,rule_based_source,2026-08-12T11:10:22+00:00
2119,570,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2120,570,digital_process,Dijital İşlem,Evet,Finansman başvurusu onaylanan müşterilerimiz mağaza çalışanı tarafından kendisine gösterilen karekod veya Kuveyt Türk Mobil üzerinden sözleşmeleri onaylayarak finansman başvuru işlemini tamamlayabilirler.,rule_based_source,2026-08-12T11:10:22+00:00
2121,570,application_channel,Başvuru / Kanal,Mobil,Finansman başvurusu onaylanan müşterilerimiz mağaza çalışanı tarafından kendisine gösterilen karekod veya Kuveyt Türk Mobil üzerinden sözleşmeleri onaylayarak finansman başvuru işlemini tamamlayabilirler.,rule_based_source,2026-08-12T11:10:22+00:00
2122,571,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2123,572,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2124,572,digital_process,Dijital İşlem,Evet,Kuveyt Türk müşterisi değilseniz Kuveyt Türk Mobil üzerinden görüntülü görüşmeyle müşterimiz olduktan sonra Trendyol mobil uygulamasından Alışveriş Finansmanı başvurusunda bulunabilirsiniz.,rule_based_source,2026-08-12T11:10:22+00:00
2125,572,application_channel,Başvuru / Kanal,Mobil,Kuveyt Türk müşterisi değilseniz Kuveyt Türk Mobil üzerinden görüntülü görüşmeyle müşterimiz olduktan sonra Trendyol mobil uygulamasından Alışveriş Finansmanı başvurusunda bulunabilirsiniz.,rule_based_source,2026-08-12T11:10:22+00:00
2126,573,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2127,573,application_channel,Başvuru / Kanal,İnternet Şubesi · Mobil,"Kuveyt Türk Mobil , İnternet Şube ve web sitemiz üzerinden kolayca başvuru yapabilirsiniz.",rule_based_source,2026-08-12T11:10:22+00:00
2128,574,target_segment,Hedef Kitle,Bireysel,scope=bireysel,structured_scope,2026-08-12T11:10:22+00:00
2129,574,application_channel,Başvuru / Kanal,Mobil,Kuveyt Türk Mobil aracılığıyla şubeye gitmeden araç finansmanı kullanabilirsiniz.,rule_based_source,2026-08-12T11:10:22+00:00
