product_id,scenario_key,scenario_type,input_amount,input_maturity_months,input_variant,profit_share_rate,monthly_installment,total_repayment,monthly_cost_rate,annual_cost_rate,effective_annual_profit_rate,allocation_fee,mortgage_fee,appraisal_fee,total_fees,scenario_status,source_kind,source_note,checked_at,bank_name,product_name,source_url,product_family_key,product_family
11,benchmark_100000_36,live_calculator_snapshot,100000.0,36,standard,4.01,6209.72,223550.02,5.258698,84.967712,,575.00,0.00,0.00,575.00,verified_live_calculator_direct_mapping,official_live_calculator_endpoint,"100,000 TL / 36 month benchmark from Kuveyt Turk official server-side LoanCalculator response. TotalAmount is stored as the bank-returned installment total. Fees are stored separately. AnnualSimpleProfitRate is retained in raw_output only.",2026-08-20T02:15:15.900005+03:00,Kuveyt Türk,Alışveriş Finansmanı,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,alisveris_finansmani,Alışveriş Finansmanı
19,benchmark_100000_36,live_calculator_snapshot,100000.0,36,2el_binek,3.67,5866.78,211203.29,4.815200,75.829290,,575.00,0.00,0.00,575.00,verified_live_calculator_direct_mapping,official_live_calculator_endpoint,"100,000 TL / 36 month benchmark from Kuveyt Turk official server-side LoanCalculator response. TotalAmount is stored as the bank-returned installment total. Fees are stored separately. AnnualSimpleProfitRate is retained in raw_output only.",2026-08-20T02:15:15.900005+03:00,Kuveyt Türk,Araç Finansmanı,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,arac_finansmani,Taşıt Finansmanı
19,benchmark_100000_36,live_calculator_snapshot,100000.0,36,yeni_binek,3.67,5866.78,211203.29,4.815200,75.829290,,575.00,0.00,0.00,575.00,verified_live_calculator_direct_mapping,official_live_calculator_endpoint,"100,000 TL / 36 month benchmark from Kuveyt Turk official server-side LoanCalculator response. TotalAmount is stored as the bank-returned installment total. Fees are stored separately. AnnualSimpleProfitRate is retained in raw_output only.",2026-08-20T02:15:15.900005+03:00,Kuveyt Türk,Araç Finansmanı,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,arac_finansmani,Taşıt Finansmanı
20,benchmark_100000_36,live_calculator_snapshot,100000.0,36,binek_dijital,3.62,5817.02,209413.32,4.749984,74.520951,,575.00,0.00,0.00,575.00,verified_live_calculator_direct_mapping,official_live_calculator_endpoint,"100,000 TL / 36 month benchmark from Kuveyt Turk official server-side LoanCalculator response. TotalAmount is stored as the bank-returned installment total. Fees are stored separately. AnnualSimpleProfitRate is retained in raw_output only.",2026-08-20T02:15:15.900005+03:00,Kuveyt Türk,Dijital Araç Finansmanı,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,arac_finansmani,Taşıt Finansmanı
31,benchmark_100000_36,live_calculator_snapshot,100000.0,36,standard,4.49,6707.14,241456.19,8.984516,180.787393,,575.00,4500.00,23645.00,28720.00,verified_live_calculator_direct_mapping,official_live_calculator_endpoint,"100,000 TL / 36 month benchmark from Kuveyt Turk official server-side LoanCalculator response. TotalAmount is stored as the bank-returned installment total. Fees are stored separately. AnnualSimpleProfitRate is retained in raw_output only.",2026-08-20T02:15:15.900005+03:00,Kuveyt Türk,Arsa Finansmanı,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,arsa_finansmani,Arsa Finansmanı
33,benchmark_100000_36,live_calculator_snapshot,100000.0,36,standard,3.56,4971.02,178956.33,6.164389,104.996472,,575.00,4500.00,23645.00,28720.00,verified_live_calculator_direct_mapping,official_live_calculator_endpoint,"100,000 TL / 36 month benchmark from Kuveyt Turk official server-side LoanCalculator response. TotalAmount is stored as the bank-returned installment total. Fees are stored separately. AnnualSimpleProfitRate is retained in raw_output only.",2026-08-20T02:15:15.900005+03:00,Kuveyt Türk,Konut Finansmanı,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,konut_finansmani,Konut Finansmanı
36,benchmark_100000_36,live_calculator_snapshot,100000.0,36,standard,4.49,6707.14,241456.19,8.984516,180.787393,,575.00,4500.00,23645.00,28720.00,verified_live_calculator_direct_mapping,official_live_calculator_endpoint,"100,000 TL / 36 month benchmark from Kuveyt Turk official server-side LoanCalculator response. TotalAmount is stored as the bank-returned installment total. Fees are stored separately. AnnualSimpleProfitRate is retained in raw_output only.",2026-08-20T02:15:15.900005+03:00,Kuveyt Türk,İş Yeri Finansmanı,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,isyeri_finansmani,İş Yeri Finansmanı
46,benchmark_100000_36,live_calculator_snapshot,100000.0,36,standard,4.27,6477.3,233182.27,5.597878,92.248196,,575.00,0.00,0.00,575.00,verified_live_calculator_direct_mapping,official_live_calculator_endpoint,"100,000 TL / 36 month benchmark from Kuveyt Turk official server-side LoanCalculator response. TotalAmount is stored as the bank-returned installment total. Fees are stored separately. AnnualSimpleProfitRate is retained in raw_output only.",2026-08-20T02:15:15.900005+03:00,Kuveyt Türk,Bisiklet Finansmanı,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,ihtiyac_finansmani,İhtiyaç Finansmanı
48,benchmark_100000_36,live_calculator_snapshot,100000.0,36,standard,4.01,6209.72,223550.02,5.258698,84.967712,,575.00,0.00,0.00,575.00,verified_live_calculator_direct_mapping,official_live_calculator_endpoint,"100,000 TL / 36 month benchmark from Kuveyt Turk official server-side LoanCalculator response. TotalAmount is stored as the bank-returned installment total. Fees are stored separately. AnnualSimpleProfitRate is retained in raw_output only.",2026-08-20T02:15:15.900005+03:00,Kuveyt Türk,Eğitim Finansmanı,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,ihtiyac_finansmani,İhtiyaç Finansmanı
49,benchmark_100000_36,live_calculator_snapshot,100000.0,36,standard,4.01,6209.72,223550.02,5.258698,84.967712,,575.00,0.00,0.00,575.00,verified_live_calculator_direct_mapping,official_live_calculator_endpoint,"100,000 TL / 36 month benchmark from Kuveyt Turk official server-side LoanCalculator response. TotalAmount is stored as the bank-returned installment total. Fees are stored separately. AnnualSimpleProfitRate is retained in raw_output only.",2026-08-20T02:15:15.900005+03:00,Kuveyt Türk,Hac-Umre Finansmanı,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,ihtiyac_finansmani,İhtiyaç Finansmanı
